New York City	11068.67
Los Angeles	8809.94
San Francisco	5813.04
Seattle	5407.14
San Diego	2177.76
Detroit	1951.19
Columbus	1719.48
Springfield	1672.57
Richmond	1396.15
Newark	1178.92
Columbia	1085.85
Jackson	1039.8
Houston	1034.44
Louisville	703.27
Long Beach	692
Henderson	664.84
Philadelphia	644.25
San Jose	641.37
Baltimore	627.28
Milwaukee	589.77
Rochester	573.08
Lawrence	537.81
Jacksonville	532.21
Clinton	477.99
Concord	447.85
Arlington	444.82
Atlanta	421.22
Lakewood	417.02
Franklin	412.15
Anaheim	403.1
Oklahoma City	392.73
Indianapolis	374.63
Fresno	370.14
Little Rock	363.57
Lafayette	347.88
Tulsa	336
Oakland	332.66
Denver	329.71
Portland	329.35
Dallas	322.75
Virginia Beach	315.24
Chesapeake	314.15
Everett	312.85
Wilmington	309.55
Oceanside	309.38
Fairfield	307.57
Monroe	295.45
Dover	293.51
Trenton	293.1
Omaha	287.59
Pasadena	286.52
Smyrna	285.12
Roseville	278.18
Fayetteville	276.16
Lakeville	269.99
Las Vegas	262.25
Roswell	257.34
Quincy	253.89
Salem	248.1
Providence	245.52
North Las Vegas	243.45
Des Moines	242.81
Florence	239.84
Mesa	237.63
Edmonds	236.22
Alexandria	235.34
Westminster	234.04
Hampton	231.77
Paterson	229.47
Marion	225.75
Costa Mesa	215.37
Yonkers	212.89
Minneapolis	210.8
Burlington	207.55
Inglewood	206.37
Belleville	200.83
Albuquerque	199.83
Phoenix	194.32
Bakersfield	187.93
Troy	187.03
Wichita	186.77
Athens	185.35
Brentwood	184.45
Cranston	184.19
Redlands	183.89
Nashville	183.15
Aurora	172.81
Miami	172.02
Decatur	171.96
Raleigh	165.05
Westland	160.79
Saint Petersburg	158.46
Bloomington	158.33
Memphis	157.92
Middletown	157.61
South Bend	154.88
Hackensack	154.24
Rome	154.22
Sandy Springs	153.46
Charlotte	149.99
Chicago	149.31
Auburn	148.74
Hempstead	146.41
Macon	144.86
Salt Lake City	142.42
Bowling Green	142.07
Fremont	141.93
Marietta	140.01
Mobile	138.27
Georgetown	136.58
Suffolk	136.34
Pomona	136.21
Waynesboro	135.96
Orem	133.68
Grand Rapids	133.26
Rockville	133.21
Lowell	131.34
Madison	131.32
Buffalo	130.53
Perth Amboy	129.98
Montgomery	126.62
Freeport	125.1
Oxnard	123.87
Riverside	123.12
Dearborn Heights	120.19
Manchester	119.62
Scottsdale	119.54
Tucson	118.95
New Rochelle	118.3
Durham	116.88
Covington	115.11
Reno	115.05
Waterbury	114.31
Midland	113.79
Provo	111.54
San Bernardino	110.17
Utica	110.17
Overland Park	109.83
Hollywood	108.2
Sunnyvale	107.51
Jonesboro	107.42
Lakeland	106.74
Gaithersburg	105.54
Cincinnati	105.34
Bristol	103.75
Lancaster	103.44
Superior	102.69
West Jordan	102.67
Spokane	102.28
Meriden	102.13
Temecula	101.89
Thousand Oaks	99.93
Saint Louis	98.56
Sioux Falls	98.44
Santa Ana	98.08
Tallahassee	98
La Crosse	97.09
Plainfield	96.53
Kenosha	95.87
Laredo	95.81
Southaven	95.73
Lansing	95.54
Meridian	95.21
Olympia	94.34
Washington	94.15
Sacramento	93
Draper	92.73
Plano	92.26
Chester	91.31
Wausau	90.43
Miramar	89.92
Watertown	89.31
Pocatello	88.96
Visalia	88.05
Eagan	87.03
Eau Claire	86.78
Lebanon	83.81
Redondo Beach	82.36
Renton	81.43
Cambridge	80.13
Lawton	79.79
Leominster	79.5
Bayonne	79.41
Woonsocket	78.67
Gulfport	77.58
Saginaw	77.17
Santa Clara	75.99
Glendale	75.85
Danville	75.82
Vancouver	75.46
Newport News	75.06
Johnson City	74.97
Apple Valley	74.81
Helena	74.62
East Orange	74.19
Salinas	73.9
Rancho Cucamonga	73.74
Park Ridge	73.61
New Albany	73.35
San Antonio	73.09
Lake Forest	72.56
Amarillo	72.54
Encinitas	71.06
Huntsville	70.74
Warwick	70.57
Chico	70.24
Pine Bluff	70.2
Dearborn	70.05
Lincoln Park	68.37
Muskogee	68.22
Fargo	68.05
Orland Park	67.99
Marlborough	67.6
Moreno Valley	67.33
Mount Vernon	67.28
Holland	66.66
Beverly	66.63
Gilbert	66.61
Orange	66.57
Mentor	66.04
Orlando	65.74
Carlsbad	65.52
Mission Viejo	65.16
Akron	64.66
Mishawaka	64.2
Hattiesburg	64
San Gabriel	63.68
Vallejo	63.24
